,Date,Sales
99,2013-04-10,7698779
100,2013-04-11,7580421
101,2013-04-12,8056347
102,2013-04-13,6024315
103,2013-04-14,182641
104,2013-04-15,5711125
105,2013-04-16,5668517
106,2013-04-17,5556697
107,2013-04-18,5726233
108,2013-04-19,6349901
109,2013-04-20,6006147
110,2013-04-21,188406
111,2013-04-22,9542000
112,2013-04-23,8047511
113,2013-04-24,7177730
114,2013-04-25,7121467
115,2013-04-26,7652433
116,2013-04-27,6308284
117,2013-04-28,205232
118,2013-04-29,10040182
119,2013-04-30,10565093
120,2013-05-01,200972
121,2013-05-02,9884371
122,2013-05-03,8967338
123,2013-05-04,6487719
124,2013-05-05,200337
125,2013-05-06,6884920
126,2013-05-07,6697752
127,2013-05-08,7693180
128,2013-05-09,233215
129,2013-05-10,8481406
130,2013-05-11,6658662
131,2013-05-12,215592
132,2013-05-13,9826496
133,2013-05-14,8662237
134,2013-05-15,7767784
135,2013-05-16,7884887
136,2013-05-17,8225841
137,2013-05-18,6410461
138,2013-05-19,226808
139,2013-05-20,253936
140,2013-05-21,7204456
141,2013-05-22,6085235
142,2013-05-23,6209485
143,2013-05-24,6483138
144,2013-05-25,5806559
145,2013-05-26,201681
146,2013-05-27,9944524
147,2013-05-28,8390312
148,2013-05-29,8885059
149,2013-05-30,3422824
150,2013-05-31,10913876
151,2013-06-01,6907750
152,2013-06-02,238144
153,2013-06-03,10144989
154,2013-06-04,8526834
155,2013-06-05,7683188
156,2013-06-06,7646668
157,2013-06-07,7967656
158,2013-06-08,5993792
159,2013-06-09,226250
160,2013-06-10,6667460
161,2013-06-11,6201425
162,2013-06-12,5961024
163,2013-06-13,6044207
164,2013-06-14,6887448
165,2013-06-15,6144832
166,2013-06-16,225065
167,2013-06-17,10191372
168,2013-06-18,8100286
169,2013-06-19,7243757
170,2013-06-20,7353311
171,2013-06-21,8406280
172,2013-06-22,6189413
173,2013-06-23,224608
174,2013-06-24,6511212
175,2013-06-25,5827831
176,2013-06-26,6028195
177,2013-06-27,6372971
178,2013-06-28,7625077
179,2013-06-29,6909121
180,2013-06-30,252185
181,2013-07-01,10750990
182,2013-07-02,8936605
183,2013-07-03,8416942
184,2013-07-04,8458325
185,2013-07-05,8384512
186,2013-07-06,5927036
187,2013-07-07,234369
188,2013-07-08,6652999
189,2013-07-09,6157174
190,2013-07-10,6248496
191,2013-07-11,6483182
192,2013-07-12,6699439
193,2013-07-13,5987351
194,2013-07-14,253582
195,2013-07-15,11484803
196,2013-07-16,9157994
197,2013-07-17,8269168
198,2013-07-18,8092686
199,2013-07-19,8376476
200,2013-07-20,5941848
201,2013-07-21,235211
202,2013-07-22,6285621
203,2013-07-23,5767497
204,2013-07-24,5966755
205,2013-07-25,6065761
206,2013-07-26,6270667
207,2013-07-27,5448670
208,2013-07-28,232442
209,2013-07-29,11299276
210,2013-07-30,10064515
211,2013-07-31,10293490
212,2013-08-01,8783485
213,2013-08-02,8085626
214,2013-08-03,6320830
215,2013-08-04,252848
216,2013-08-05,7169893
217,2013-08-06,6366382
218,2013-08-07,6414477
219,2013-08-08,6430437
220,2013-08-09,6589299
221,2013-08-10,5881545
222,2013-08-11,243358
223,2013-08-12,11137198
224,2013-08-13,9179490
225,2013-08-14,8509505
226,2013-08-15,7029537
227,2013-08-16,8137427
228,2013-08-17,5584570
229,2013-08-18,241793
230,2013-08-19,6391105
231,2013-08-20,5989832
232,2013-08-21,5696932
233,2013-08-22,5759988
234,2013-08-23,6035936
235,2013-08-24,5397910
236,2013-08-25,225182
237,2013-08-26,10302422
238,2013-08-27,8397061
239,2013-08-28,7838558
240,2013-08-29,7970501
241,2013-08-30,9221577
242,2013-08-31,6458023
243,2013-09-01,250990
244,2013-09-02,6834913
245,2013-09-03,6322579
246,2013-09-04,5985810
247,2013-09-05,5843845
248,2013-09-06,6121373
249,2013-09-07,5795003
250,2013-09-08,225500
251,2013-09-09,11058017
252,2013-09-10,8946722
253,2013-09-11,8285894
254,2013-09-12,8096007
255,2013-09-13,8371696
256,2013-09-14,5894325
257,2013-09-15,224076
258,2013-09-16,6130906
259,2013-09-17,5785061
260,2013-09-18,5438193
261,2013-09-19,5797033
262,2013-09-20,6042768
263,2013-09-21,5745122
264,2013-09-22,204164
265,2013-09-23,9449348
266,2013-09-24,7922441
267,2013-09-25,7390563
268,2013-09-26,7489318
269,2013-09-27,8267396
270,2013-09-28,6245049
271,2013-09-29,228875
272,2013-09-30,7660976
273,2013-10-01,6677200
274,2013-10-02,7168893
275,2013-10-03,285518
276,2013-10-04,8196635
277,2013-10-05,6142021
278,2013-10-06,217293
279,2013-10-07,11062400
280,2013-10-08,8949093
281,2013-10-09,8089729
282,2013-10-10,7809827
283,2013-10-11,8141538
284,2013-10-12,6203651
285,2013-10-13,227064
286,2013-10-14,6571405
287,2013-10-15,5864402
288,2013-10-16,5933839
289,2013-10-17,5861163
290,2013-10-18,6319569
291,2013-10-19,5868927
292,2013-10-20,208367
293,2013-10-21,9833873
294,2013-10-22,7927560
295,2013-10-23,7416700
296,2013-10-24,7378657
297,2013-10-25,7589058
298,2013-10-26,5744750
299,2013-10-27,218159
300,2013-10-28,5831815
301,2013-10-29,6145546
302,2013-10-30,6970004
303,2013-10-31,6807674
304,2013-11-01,3940492
305,2013-11-02,7410509
306,2013-11-03,175864
307,2013-11-04,10568398
308,2013-11-05,9306571
309,2013-11-06,8224747
310,2013-11-07,7951819
311,2013-11-08,8443830
312,2013-11-09,6566741
313,2013-11-10,187852
314,2013-11-11,6423778
315,2013-11-12,6003149
316,2013-11-13,6028677
317,2013-11-14,6140303
318,2013-11-15,6741987
319,2013-11-16,6605960
320,2013-11-17,194615
321,2013-11-18,10528615
322,2013-11-19,8895888
323,2013-11-20,7472513
324,2013-11-21,8084449
325,2013-11-22,8199106
326,2013-11-23,6593077
327,2013-11-24,198110
328,2013-11-25,7204808
329,2013-11-26,6673704
330,2013-11-27,6725418
331,2013-11-28,7262197
332,2013-11-29,8803269
333,2013-11-30,8614478
334,2013-12-01,220033
335,2013-12-02,12972440
336,2013-12-03,10915444
337,2013-12-04,10203870
338,2013-12-05,10296749
339,2013-12-06,8431475
340,2013-12-07,7231141
341,2013-12-08,190125
342,2013-12-09,7607576
343,2013-12-10,7458243
344,2013-12-11,7364610
345,2013-12-12,7520198
346,2013-12-13,8012317
347,2013-12-14,7938245
348,2013-12-15,214032
349,2013-12-16,15623548
350,2013-12-17,13053993
351,2013-12-18,12189674
352,2013-12-19,11740273
353,2013-12-20,12334496
354,2013-12-21,10165366
355,2013-12-22,263979
356,2013-12-23,14350056
357,2013-12-24,5232808
358,2013-12-25,142585
359,2013-12-26,188597
360,2013-12-27,8168568
361,2013-12-28,6726568
362,2013-12-29,226553
363,2013-12-30,10192135
364,2013-12-31,4534864
365,2014-01-01,118108
366,2014-01-02,6980556
367,2014-01-03,7024253
368,2014-01-04,6357259
369,2014-01-05,184905
370,2014-01-06,8661727
371,2014-01-07,10456932
372,2014-01-08,8643239
373,2014-01-09,8016642
374,2014-01-10,8548672
375,2014-01-11,6231179
376,2014-01-12,175744
377,2014-01-13,6089929
378,2014-01-14,5785842
379,2014-01-15,5779426
380,2014-01-16,5720266
381,2014-01-17,6332625
382,2014-01-18,6213031
383,2014-01-19,175778
384,2014-01-20,10648819
385,2014-01-21,8475207
386,2014-01-22,7970289
387,2014-01-23,7625568
388,2014-01-24,7851977
389,2014-01-25,5986034
390,2014-01-26,160153
391,2014-01-27,5689615
392,2014-01-28,5790602
393,2014-01-29,5809489
394,2014-01-30,6313068
395,2014-01-31,7935853
396,2014-02-01,6934170
397,2014-02-02,214940
398,2014-02-03,11757740
399,2014-02-04,9651472
400,2014-02-05,8456987
401,2014-02-06,8226263
402,2014-02-07,8075318
403,2014-02-08,6387706
404,2014-02-09,190226
405,2014-02-10,6451410
406,2014-02-11,6056843
407,2014-02-12,6046448
408,2014-02-13,6180416
409,2014-02-14,7086640
410,2014-02-15,6293698
411,2014-02-16,190158
412,2014-02-17,10675316
413,2014-02-18,8708285
414,2014-02-19,7855918
415,2014-02-20,7738889
416,2014-02-21,7862313
417,2014-02-22,6123882
418,2014-02-23,185005
419,2014-02-24,6036002
420,2014-02-25,5697449
421,2014-02-26,5960448
422,2014-02-27,6006428
423,2014-02-28,7874307
424,2014-03-01,7088957
425,2014-03-02,225564
426,2014-03-03,10254710
427,2014-03-04,9211960
428,2014-03-05,8802968
429,2014-03-06,8444592
430,2014-03-07,8486290
431,2014-03-08,6075937
432,2014-03-09,187110
433,2014-03-10,6204784
434,2014-03-11,5906003
435,2014-03-12,5795093
436,2014-03-13,5898902
437,2014-03-14,6447567
438,2014-03-15,6310072
439,2014-03-16,213125
440,2014-03-17,10311703
441,2014-03-18,8426401
442,2014-03-19,7849900
443,2014-03-20,7179418
444,2014-03-21,7681649
445,2014-03-22,6176931
446,2014-03-23,217517
447,2014-03-24,6506590
448,2014-03-25,5909575
449,2014-03-26,5840946
450,2014-03-27,6024721
451,2014-03-28,6822072
452,2014-03-29,6248819
453,2014-03-30,207045
454,2014-03-31,12062933
455,2014-04-01,9114237
456,2014-04-02,8314447
457,2014-04-03,8215262
458,2014-04-04,8575005
459,2014-04-05,6560749
460,2014-04-06,223163
461,2014-04-07,6624706
462,2014-04-08,6248167
463,2014-04-09,6410230
464,2014-04-10,6524511
465,2014-04-11,6910251
466,2014-04-12,6388099
467,2014-04-13,241475
468,2014-04-14,11683139
469,2014-04-15,10668363
470,2014-04-16,10024850
471,2014-04-17,10357418
472,2014-04-18,222365
473,2014-04-19,8428009
474,2014-04-20,186799
475,2014-04-21,240988
476,2014-04-22,6971756
477,2014-04-23,5997676
478,2014-04-24,6039156
479,2014-04-25,6219955
480,2014-04-26,5968493
481,2014-04-27,219630
482,2014-04-28,10667908
483,2014-04-29,9457130
484,2014-04-30,10841040
485,2014-05-01,238077
486,2014-05-02,11310699
487,2014-05-03,6850332
488,2014-05-04,227506
489,2014-05-05,10797063
490,2014-05-06,9073871
491,2014-05-07,8451824
492,2014-05-08,8356504
493,2014-05-09,8722646
494,2014-05-10,6828031
495,2014-05-11,242817
496,2014-05-12,6383523
497,2014-05-13,6128627
498,2014-05-14,6141038
499,2014-05-15,6252912
500,2014-05-16,6515173
501,2014-05-17,6052688
502,2014-05-18,234786
503,2014-05-19,10104320
504,2014-05-20,8264365
505,2014-05-21,7727052
506,2014-05-22,7517793
507,2014-05-23,8177009
508,2014-05-24,6130815
509,2014-05-25,224097
510,2014-05-26,6489410
511,2014-05-27,6286135
512,2014-05-28,7944392
513,2014-05-29,292254
514,2014-05-30,9846892
515,2014-05-31,6880606
516,2014-06-01,264670
517,2014-06-02,11662688
518,2014-06-03,9598519
519,2014-06-04,8807342
520,2014-06-05,8812312
521,2014-06-06,8857173
522,2014-06-07,6731210
523,2014-06-08,275989
524,2014-06-09,288181
525,2014-06-10,7416071
526,2014-06-11,6688764
527,2014-06-12,6939204
528,2014-06-13,7068339
529,2014-06-14,6574173
530,2014-06-15,238273
531,2014-06-16,10692037
532,2014-06-17,9295150
533,2014-06-18,9059505
534,2014-06-19,3307766
535,2014-06-20,9683407
536,2014-06-21,6065789
537,2014-06-22,230668
538,2014-06-23,6604967
539,2014-06-24,6040970
540,2014-06-25,5977803
541,2014-06-26,5802491
542,2014-06-27,6910940
543,2014-06-28,6586535
544,2014-06-29,257513
545,2014-06-30,13308602
546,2014-07-01,8240050
547,2014-07-02,7708595
548,2014-07-03,7204662
549,2014-07-04,6518718
550,2014-07-05,5377184
551,2014-07-06,241423
552,2014-07-07,6059587
553,2014-07-08,5119383
554,2014-07-09,4959489
555,2014-07-10,5729302
556,2014-07-11,5791635
557,2014-07-12,5329624
558,2014-07-13,268130
559,2014-07-14,8607714
560,2014-07-15,7684994
561,2014-07-16,7177840
562,2014-07-17,6837176
563,2014-07-18,6647315
564,2014-07-19,4689269
565,2014-07-20,248092
566,2014-07-21,5690785
567,2014-07-22,5274595
568,2014-07-23,5068787
569,2014-07-24,5179026
570,2014-07-25,5493418
571,2014-07-26,4887412
572,2014-07-27,244638
573,2014-07-28,8536879
574,2014-07-29,7323566
575,2014-07-30,7468663
576,2014-07-31,8284756
577,2014-08-01,7544719
578,2014-08-02,5300445
579,2014-08-03,273058
580,2014-08-04,9062750
581,2014-08-05,7530345
582,2014-08-06,6709611
583,2014-08-07,6772684
584,2014-08-08,6571862
585,2014-08-09,4938926
586,2014-08-10,249646
587,2014-08-11,5850906
588,2014-08-12,5281785
589,2014-08-13,5149918
590,2014-08-14,5395023
591,2014-08-15,5595129
592,2014-08-16,5021534
593,2014-08-17,255808
594,2014-08-18,9250961
595,2014-08-19,7698449
596,2014-08-20,7022798
597,2014-08-21,6616202
598,2014-08-22,6638319
599,2014-08-23,4958030
600,2014-08-24,248837
601,2014-08-25,5750763
602,2014-08-26,5056366
603,2014-08-27,5167298
604,2014-08-28,5355611
605,2014-08-29,6562758
606,2014-08-30,5643050
607,2014-08-31,274884
608,2014-09-01,9737203
609,2014-09-02,7854744
610,2014-09-03,7170145
611,2014-09-04,6799830
612,2014-09-05,6908744
613,2014-09-06,5010762
614,2014-09-07,228115
615,2014-09-08,5655302
616,2014-09-09,5259862
617,2014-09-10,5220667
618,2014-09-11,5288519
619,2014-09-12,5479788
620,2014-09-13,5134569
621,2014-09-14,243543
622,2014-09-15,8724338
623,2014-09-16,7191134
624,2014-09-17,6513743
625,2014-09-18,6397477
626,2014-09-19,6550530
627,2014-09-20,4915671
628,2014-09-21,242302
629,2014-09-22,5277645
630,2014-09-23,4977122
631,2014-09-24,4805992
632,2014-09-25,4969583
633,2014-09-26,5320736
634,2014-09-27,4975386
635,2014-09-28,220642
636,2014-09-29,8548286
637,2014-09-30,8893788
638,2014-10-01,7702334
639,2014-10-02,8155792
640,2014-10-03,307988
641,2014-10-04,6426083
642,2014-10-05,225796
643,2014-10-06,9028634
644,2014-10-07,7332784
645,2014-10-08,6869767
646,2014-10-09,6816808
647,2014-10-10,7047404
648,2014-10-11,5190193
649,2014-10-12,240423
650,2014-10-13,5445980
651,2014-10-14,5213744
652,2014-10-15,5110401
653,2014-10-16,5179446
654,2014-10-17,5449686
655,2014-10-18,4945733
656,2014-10-19,204991
657,2014-10-20,8078830
658,2014-10-21,6677374
659,2014-10-22,6129832
660,2014-10-23,6463607
661,2014-10-24,6523289
662,2014-10-25,4894704
663,2014-10-26,219359
664,2014-10-27,5508341
665,2014-10-28,5163755
666,2014-10-29,5285015
667,2014-10-30,6271893
668,2014-10-31,6106412
669,2014-11-01,3522395
670,2014-11-02,213741
671,2014-11-03,9953793
672,2014-11-04,8181287
673,2014-11-05,7493001
674,2014-11-06,7184058
675,2014-11-07,7298281
676,2014-11-08,5629423
677,2014-11-09,177774
678,2014-11-10,8095306
679,2014-11-11,7083145
680,2014-11-12,6686356
681,2014-11-13,6750180
682,2014-11-14,7064885
683,2014-11-15,5576429
684,2014-11-16,203453
685,2014-11-17,5849735
686,2014-11-18,5367537
687,2014-11-19,4888765
688,2014-11-20,5575878
689,2014-11-21,5816514
690,2014-11-22,5522528
691,2014-11-23,198298
692,2014-11-24,9020315
693,2014-11-25,7868758
694,2014-11-26,7518283
695,2014-11-27,7867510
696,2014-11-28,9172722
697,2014-11-29,7305547
698,2014-11-30,242056
699,2014-12-01,10276971
700,2014-12-02,8843822
701,2014-12-03,8258019
702,2014-12-04,8554042
703,2014-12-05,9801856
704,2014-12-06,6479401
705,2014-12-07,196469
706,2014-12-08,6560015
707,2014-12-09,6329729
708,2014-12-10,5909802
709,2014-12-11,6156944
710,2014-12-12,6501211
711,2014-12-13,6779226
712,2014-12-14,218670
713,2014-12-15,12133381
714,2014-12-16,10621060
715,2014-12-17,9483386
716,2014-12-18,9808212
717,2014-12-19,9518489
718,2014-12-20,7956411
719,2014-12-21,259248
720,2014-12-22,11007641
721,2014-12-23,10712124
722,2014-12-24,4612716
723,2014-12-25,155386
724,2014-12-26,205238
725,2014-12-27,5710292
726,2014-12-28,218071
727,2014-12-29,7291426
728,2014-12-30,7665743
729,2014-12-31,3895591
730,2015-01-01,130162
731,2015-01-02,7561431
732,2015-01-03,6150311
733,2015-01-04,197193
734,2015-01-05,11303805
735,2015-01-06,6791481
736,2015-01-07,8621857
737,2015-01-08,7646645
738,2015-01-09,7945387
739,2015-01-10,6277742
740,2015-01-11,183367
741,2015-01-12,9840664
742,2015-01-13,8538569
743,2015-01-14,7881690
744,2015-01-15,7774935
745,2015-01-16,8456148
746,2015-01-17,6525692
747,2015-01-18,195778
748,2015-01-19,6386391
749,2015-01-20,5744162
750,2015-01-21,5882045
751,2015-01-22,5933913
752,2015-01-23,6326166
753,2015-01-24,5811369
754,2015-01-25,179028
755,2015-01-26,9401803
756,2015-01-27,8392342
757,2015-01-28,7930037
758,2015-01-29,8024066
759,2015-01-30,9454954
760,2015-01-31,7354597
761,2015-02-01,225556
762,2015-02-02,10291172
763,2015-02-03,8904680
764,2015-02-04,8136074
765,2015-02-05,7973916
766,2015-02-06,8439787
767,2015-02-07,6594669
768,2015-02-08,208209
769,2015-02-09,6477197
770,2015-02-10,6345089
771,2015-02-11,6393495
772,2015-02-12,6151076
773,2015-02-13,7212357
774,2015-02-14,6701361
775,2015-02-15,217257
776,2015-02-16,9321996
777,2015-02-17,8299474
778,2015-02-18,8058390
779,2015-02-19,8031173
780,2015-02-20,8094451
781,2015-02-21,6290922
782,2015-02-22,199419
783,2015-02-23,5984980
784,2015-02-24,6021986
785,2015-02-25,6028364
786,2015-02-26,6471718
787,2015-02-27,7778945
788,2015-02-28,7421745
789,2015-03-01,228942
790,2015-03-02,10933146
791,2015-03-03,9234921
792,2015-03-04,8421680
793,2015-03-05,8263354
794,2015-03-06,8504508
795,2015-03-07,6565020
796,2015-03-08,201341
797,2015-03-09,6765029
798,2015-03-10,6211021
799,2015-03-11,6272025
800,2015-03-12,6376255
801,2015-03-13,6942094
802,2015-03-14,6625997
803,2015-03-15,244505
804,2015-03-16,10877344
805,2015-03-17,8792886
806,2015-03-18,7993269
807,2015-03-19,8073881
808,2015-03-20,8291098
809,2015-03-21,6398094
810,2015-03-22,235852
811,2015-03-23,6788834
812,2015-03-24,6226359
813,2015-03-25,6073784
814,2015-03-26,6362734
815,2015-03-27,7078009
816,2015-03-28,6829093
817,2015-03-29,226242
818,2015-03-30,12371453
819,2015-03-31,11222913
820,2015-04-01,11102030
821,2015-04-02,11400447
822,2015-04-03,242473
823,2015-04-04,9366558
824,2015-04-05,217211
825,2015-04-06,272921
826,2015-04-07,7896155
827,2015-04-08,6790649
828,2015-04-09,6560475
829,2015-04-10,6669239
830,2015-04-11,6445499
831,2015-04-12,244956
832,2015-04-13,11075002
833,2015-04-14,9166055
834,2015-04-15,8002511
835,2015-04-16,8396675
836,2015-04-17,8738327
837,2015-04-18,6569186
838,2015-04-19,237342
839,2015-04-20,6588863
840,2015-04-21,6039464
841,2015-04-22,6082195
842,2015-04-23,6153519
843,2015-04-24,6367560
844,2015-04-25,6305451
845,2015-04-26,234093
846,2015-04-27,10605500
847,2015-04-28,9302980
848,2015-04-29,9517703
849,2015-04-30,11327847
850,2015-05-01,264231
851,2015-05-02,8764984
852,2015-05-03,249207
853,2015-05-04,10995906
854,2015-05-05,8778928
855,2015-05-06,8633577
856,2015-05-07,8550616
857,2015-05-08,8665512
858,2015-05-09,7157061
859,2015-05-10,251720
860,2015-05-11,6732629
861,2015-05-12,6686277
862,2015-05-13,8147927
863,2015-05-14,289247
864,2015-05-15,8596524
865,2015-05-16,6497847
866,2015-05-17,255680
867,2015-05-18,10603240
868,2015-05-19,8925994
869,2015-05-20,8355497
870,2015-05-21,8228411
871,2015-05-22,8352281
872,2015-05-23,6773815
873,2015-05-24,261385
874,2015-05-25,299473
875,2015-05-26,7776413
876,2015-05-27,6876443
877,2015-05-28,6974793
878,2015-05-29,8372820
879,2015-05-30,7546769
880,2015-05-31,278690
881,2015-06-01,11743615
882,2015-06-02,9925193
883,2015-06-03,9731791
884,2015-06-04,3534231
885,2015-06-05,9724893
886,2015-06-06,6478518
887,2015-06-07,262497
888,2015-06-08,7366781
889,2015-06-09,6865990
890,2015-06-10,6524741
891,2015-06-11,6553081
892,2015-06-12,6606431
893,2015-06-13,6510261
894,2015-06-14,269533
895,2015-06-15,11570100
896,2015-06-16,9636747
897,2015-06-17,8618478
898,2015-06-18,8191358
899,2015-06-19,8458252
900,2015-06-20,6390661
901,2015-06-21,249849
902,2015-06-22,6552538
903,2015-06-23,6292372
904,2015-06-24,6257424
905,2015-06-25,6211764
906,2015-06-26,6634687
907,2015-06-27,6538314
908,2015-06-28,262669
909,2015-06-29,11916672
910,2015-06-30,11483932
911,2015-07-01,8989672
912,2015-07-02,8446293
913,2015-07-03,8530388
914,2015-07-04,6054276
915,2015-07-05,269248
916,2015-07-06,7540473
917,2015-07-07,6393024
918,2015-07-08,6915625
919,2015-07-09,6938182
920,2015-07-10,7064909
921,2015-07-11,6262022
922,2015-07-12,277047
923,2015-07-13,10841267
924,2015-07-14,9340405
925,2015-07-15,8756137
926,2015-07-16,8373873
927,2015-07-17,7949337
928,2015-07-18,6448982
929,2015-07-19,298418
930,2015-07-20,7339321
931,2015-07-21,6356482
932,2015-07-22,6110388
933,2015-07-23,6687068
934,2015-07-24,6601325
935,2015-07-25,6021666
936,2015-07-26,285865
937,2015-07-27,10707292
938,2015-07-28,9115073
939,2015-07-29,8499962
940,2015-07-30,8798854
941,2015-07-31,10109742
